item_name,category,detail,note
民営家賃（木造小住宅）,exempt,,
民営家賃（木造中住宅）,exempt,,
民営家賃（非木造住宅）,exempt,,
民営家賃,exempt,,2010基準での代替
公営家賃,exempt,,
持家の帰属家賃（木造小住宅）,exempt,,
持家の帰属家賃（木造中住宅）,exempt,,
持家の帰属家賃（非木造住宅）,exempt,,
持家の帰属家賃,exempt,,2010基準での代替
火災保険料,exempt,,
診療料,exempt,,
診療代,exempt,,2010基準での代替
入院費（分娩費・国立）,exempt,,
入院費（分娩費・公立）,exempt,,
出産入院料,exempt,,2010基準での代替
自動車免許手数料,exempt,,
自動車保険料（自賠責）,exempt,,
自動車保険料（任意）,exempt,,
私立中学校授業料,exempt,,
公立高校授業料,exempt,,
私立高校授業料,exempt,,
国立大学授業料,exempt,,
私立大学授業料,exempt,,
私立短期大学授業料,exempt,,
公立幼稚園保育料,exempt,,
私立幼稚園保育料,exempt,,
教科書,exempt,,
印鑑証明手数料,exempt,,
戸籍抄本手数料,exempt,,
ＰＴＡ会費（小学校）,exempt,,対価性なし
ＰＴＡ会費（中学校）,exempt,,
電気代,trans1,,
都市ガス代,trans1,,
プロパンガス,trans1,,
水道料,trans1,,
下水道料,trans1,,
通信料,trans2,1/2,改定当月にウエイト1/2が新税率
固定電話通信料,trans2,1/2,2010基準での代替
清掃代,trans2_2mo,1/2,1997年4月および5月にウエイト1/2が新税率
温風ヒーター,seasonal1,Sep-Feb,
電気カーペット,seasonal1,Sep-Feb,
毛布,seasonal1,Sep-Feb,
扇風機,seasonal1,Apr-Aug,
石油ストーブ,seasonal1,Sep-Feb,
電気ごたつ,seasonal1,Sep-Feb,
背広服（冬物）,seasonal1,Sep-Feb,
男子ウール着物,seasonal1,Sep-Feb,
男子上着,seasonal1,Sep-Feb,
スリーシーズンコート,seasonal1,Sep-Feb,
男子学生服,seasonal1,Sep-Feb,
ニットスーツ,seasonal1,Sep-Feb,
スーツ（冬物）,seasonal1,Sep-Feb,
ワンピース（冬物）,seasonal1,Sep-Feb,
スカート（冬物）,seasonal1,Sep-Feb,
婦人スラックス（冬物）,seasonal1,Sep-Feb,
婦人オーバー,seasonal1,Sep-Feb,
女子学生服,seasonal1,Sep-Feb,
女児スカート（冬物）,seasonal1,Sep-Feb,
ワイシャツ（半袖）,seasonal1,May-Sep,
スポーツシャツ（長袖）,seasonal1,Sep-Feb,
男子セーター,seasonal1,Sep-Feb,
婦人ブラウス（半袖）,seasonal1,May-Sep,
婦人Ｔシャツ（長袖）,seasonal1,Sep-Feb,
婦人セーター（長袖）,seasonal1,Sep-Feb,
子供Ｔシャツ（長袖）,seasonal1,Sep-Feb,
子供セーター,seasonal1,Sep-Feb,
男子シャツ（ランニング）,seasonal1,May-Sep,
男子靴下（冬物）,seasonal1,Sep-Feb,
子供タイツ,seasonal1,Sep-Feb,
スーツ（夏物）,seasonal1,May-Sep,1997年は夏物が type1 扱い
ワンピース（夏物）,seasonal1,May-Sep,
学習机,seasonal1,Jan-Mar,
通学用かばん,seasonal1,Jan-Mar,
婦人ウール着物,seasonal2,Mar-Aug,
男子ズボン（冬物）,seasonal2,Mar-Aug,
スーツ（合物）,seasonal2,Mar-Aug,
ワンピース（合物）,seasonal2,Mar-Aug,
スカート（合物）,seasonal2,Mar-Aug,
婦人ブレザー,seasonal2,Mar-Aug,
女児スカート（夏物）,seasonal2,Mar-Aug,
婦人ブラウス（長袖）,seasonal2,Mar-Aug,
男子シャツ（長袖）,seasonal2,Mar-Aug,
男子ズボン下,seasonal2,Mar-Aug,
男子パジャマ,seasonal2,Mar-Aug,
男子靴下（夏物）,seasonal2,Mar-Aug,
